time,Speed
Seconds,(mph)
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.2
6,0.7
7,1.1
8,1.7
9,6.0
10,13.9
11,20.5
12,25.7
13,25.0
14,28.4
15,32.3
16,34.6
17,36.5
18,38.4
19,39.9
20,42.2
21,43.8
22,44.2
23,43.4
24,42.6
25,40.3
26,39.2
27,38.4
28,38.4
29,39.2
30,38.8
31,38.8
32,36.5
33,32.3
34,27.6
35,22.3
36,17.3
37,11.5
38,5.8
39,1.2
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.8
49,9.2
50,14.9
51,18.2
52,22.2
53,27.2
54,31.4
55,33.8
56,37.2
57,40.8
58,44.0
59,46.3
60,47.6
61,49.5
62,51.2
63,53.0
64,54.4
65,55.6
66,56.4
67,56.1
68,56.2
69,55.8
70,55.1
71,54.4
72,54.2
73,54.4
74,54.2
75,53.5
76,52.3
77,52.0
78,51.9
79,51.8
80,51.9
81,52.0
82,52.5
83,53.4
84,54.9
85,56.8
86,58.8
87,60.6
88,62.3
89,64.2
90,66.2
91,67.8
92,69.4
93,70.4
94,70.6
95,70.7
96,70.3
97,68.2
98,66.5
99,64.9
100,63.7
101,62.5
102,61.0
103,59.3
104,57.7
105,56.0
106,54.5
107,52.8
108,51.2
109,49.5
110,48.0
111,46.3
112,44.0
113,41.1
114,38.8
115,37.7
116,36.6
117,35.3
118,30.0
119,24.4
120,19.8
121,15.5
122,10.8
123,6.3
124,3.2
125,2.1
126,1.2
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,2.7
136,9.2
137,16.1
138,22.7
139,29.2
140,34.2
141,38.8
142,43.0
143,45.3
144,46.8
145,48.0
146,49.5
147,50.3
148,51.5
149,52.2
150,52.6
151,53.0
152,53.8
153,53.8
154,53.8
155,54.6
156,56.3
157,56.9
158,58.1
159,58.4
160,59.6
161,59.9
162,60.2
163,60.5
164,59.7
165,58.3
166,58.1
167,57.8
168,57.3
169,57.5
170,56.6
171,57.0
172,56.6
173,56.5
174,56.2
175,56.4
176,56.6
177,56.4
178,56.1
179,56.0
180,55.9
181,54.8
182,54.2
183,54.6
184,52.2
185,54.7
186,55.7
187,57.0
188,58.0
189,58.1
190,59.4
191,59.9
192,61.0
193,61.4
194,61.9
195,62.5
196,62.5
197,62.7
198,62.2
199,62.5
200,63.1
201,62.7
202,62.8
203,63.0
204,64.1
205,63.9
206,64.1
207,64.3
208,64.5
209,64.9
210,65.3
211,66.0
212,66.0
213,66.4
214,64.1
215,63.6
216,63.9
217,64.1
218,63.7
219,64.3
220,64.2
221,63.9
222,64.2
223,63.4
224,64.0
225,63.9
226,64.0
227,63.8
228,64.0
229,63.3
230,63.4
231,63.9
232,64.0
233,64.3
234,64.8
235,65.1
236,64.0
237,64.2
238,63.1
239,63.7
240,63.1
241,63.7
242,63.5
243,63.0
244,63.1
245,63.0
246,63.3
247,63.4
248,63.3
249,62.5
250,62.5
251,62.9
252,62.8
253,62.2
254,62.4
255,62.3
256,62.3
257,62.4
258,62.1
259,62.5
260,62.8
261,62.3
262,62.3
263,62.4
264,61.9
265,62.8
266,62.8
267,62.3
268,62.8
269,62.4
270,62.1
271,61.9
272,61.8
273,62.1
274,62.1
275,62.1
276,62.0
277,62.4
278,62.2
279,62.2
280,62.4
281,62.7
282,62.6
283,63.7
284,64.3
285,64.8
286,65.1
287,65.9
288,66.1
289,67.0
290,67.2
291,67.5
292,68.3
293,68.3
294,68.8
295,69.1
296,69.4
297,71.7
298,72.1
299,74.9
300,72.6
301,72.2
302,72.2
303,72.0
304,72.5
305,72.8
306,72.7
307,71.8
308,71.4
309,71.1
310,71.1
311,70.9
312,71.0
313,71.0
314,71.2
315,72.1
316,72.6
317,73.6
318,74.8
319,75.7
320,77.3
321,78.4
322,79.3
323,78.2
324,76.0
325,75.6
326,76.4
327,77.6
328,78.0
329,79.1
330,79.5
331,79.9
332,79.9
333,80.3
334,80.3
335,79.5
336,79.5
337,79.1
338,78.7
339,77.6
340,76.5
341,74.3
342,72.6
343,70.8
344,67.6
345,66.4
346,66.7
347,66.1
348,65.9
349,66.2
350,66.1
351,67.1
352,67.4
353,68.3
354,68.3
355,68.7
356,68.2
357,68.1
358,68.0
359,67.1
360,66.4
361,66.1
362,65.7
363,66.0
364,66.4
365,66.0
366,66.3
367,67.0
368,67.5
369,67.9
370,68.1
371,68.5
372,68.9
373,68.6
374,69.4
375,69.4
376,69.4
377,70.0
378,70.4
379,70.6
380,70.9
381,70.3
382,70.6
383,70.3
384,69.7
385,69.9
386,70.1
387,69.6
388,69.3
389,69.9
390,69.7
391,69.5
392,69.9
393,70.2
394,70.2
395,70.2
396,71.0
397,70.8
398,70.9
399,70.7
400,70.9
401,71.2
402,71.3
403,70.8
404,71.2
405,71.7
406,71.9
407,72.6
408,72.3
409,72.3
410,72.1
411,72.0
412,71.9
413,72.6
414,72.8
415,73.2
416,72.1
417,71.5
418,70.9
419,70.4
420,70.5
421,70.9
422,70.2
423,71.0
424,70.2
425,70.3
426,69.1
427,68.8
428,68.2
429,68.3
430,68.2
431,67.7
432,67.3
433,67.5
434,67.6
435,67.6
436,67.2
437,67.0
438,66.3
439,66.6
440,66.2
441,66.4
442,65.9
443,66.1
444,65.5
445,62.2
446,62.2
447,61.4
448,61.1
449,61.4
450,61.1
451,61.4
452,61.4
453,61.8
454,61.8
455,61.8
456,61.8
457,62.2
458,61.8
459,62.2
460,62.6
461,62.2
462,62.6
463,62.2
464,62.6
465,62.6
466,63.0
467,62.6
468,62.2
469,61.1
470,59.5
471,58.8
472,56.8
473,55.7
474,54.1
475,51.5
476,49.2
477,48.8
478,47.6
479,44.9
480,41.5
481,37.2
482,34.6
483,33.0
484,29.2
485,22.3
486,17.7
487,17.3
488,14.0
489,10.0
490,6.0
491,2.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.2
501,4.4
502,10.1
503,15.6
504,20.8
505,25.1
506,27.7
507,28.2
508,26.8
509,24.8
510,22.4
511,17.1
512,11.3
513,6.9
514,7.5
515,11.1
516,15.4
517,19.9
518,24.2
519,27.1
520,28.5
521,28.2
522,25.6
523,21.7
524,17.3
525,12.1
526,7.5
527,5.8
528,2.4
529,1.2
530,1.9
531,6.7
532,11.8
533,16.8
534,21.7
535,25.9
536,27.7
537,28.0
538,27.1
539,24.4
540,20.2
541,15.2
542,9.3
543,5.0
544,2.9
545,2.4
546,8.4
547,13.5
548,17.8
549,22.2
550,26.2
551,30.0
552,29.8
553,26.0
554,21.3
555,16.2
556,11.4
557,6.6
558,2.6
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.3
568,6.4
569,12.7
570,19.2
571,23.8
572,28.2
573,34.9
574,37.5
575,40.3
576,45.0
577,49.9
578,51.6
579,51.2
580,50.6
581,49.9
582,47.8
583,44.6
584,41.2
585,37.8
586,33.4
587,28.0
588,23.7
589,18.8
590,12.9
591,6.2
592,2.2
